taxon_oid	Genome.Name	Status	Domain	Taxon.Object.ID	NCBI.Taxon.ID	Phylum	Class	Gene.Count	GC	Genome.Size
650716002	Acidiphilium multivorum AIU301	Finished	Bacteria	650716002	926570	Proteobacteria	Alphaproteobacteria	4004	0.67	4214744
2521172602	Acidipropionibacterium acidipropionici ATCC 4875	Finished	Bacteria	2521172602	1171373	Actinobacteria	Actinobacteria	3433	0.69	3656170
2671180803	Acidipropionibacterium acidipropionici ATCC 55737	Finished	Bacteria	2671180803	1748	Actinobacteria	Actinobacteria	3484	0.69	3707191
2684623196	Acidipropionibacterium acidipropionici CGMCC 1.2230	Finished	Bacteria	2684623196	1748	Actinobacteria	Actinobacteria	3373	0.69	3651382
2718218444	Acidipropionibacterium acidipropionici F3E8	Finished	Bacteria	2718218444	1748	Actinobacteria	Actinobacteria	3424	0.69	3631890
650716003	Acidithiobacillus caldus SM-1	Finished	Bacteria	650716003	990288	Proteobacteria	Acidithiobacillia	3239	0.61	3237599
2510436001	Acidithiobacillus ferrivorans SS3	Finished	Bacteria	2510436001	743299	Proteobacteria	Acidithiobacillia	3335	0.57	3207552
643348501	Acidithiobacillus ferrooxidans ATCC 23270	Finished	Bacteria	643348501	243159	Proteobacteria	Acidithiobacillia	3234	0.59	2982397
642555101	Acidithiobacillus ferrooxidans ATCC 53993	Finished	Bacteria	642555101	380394	Proteobacteria	Acidithiobacillia	2951	0.59	2885038
643692001	Acidobacterium capsulatum ATCC 51196	Finished	Bacteria	643692001	240015	Acidobacteria	Acidobacteriia	3425	0.6	4127356
639633001	Acidothermus cellulolyticus 11B	Finished	Bacteria	639633001	351607	Actinobacteria	Actinobacteria	2229	0.67	2443540
2639763067	Acidovorax avenae T10_61	Finished	Bacteria	2639763067	80867	Proteobacteria	Betaproteobacteria	5142	0.69	5634253
650716004	Acidovorax avenae avenae ATCC 19860	Finished	Bacteria	650716004	643561	Proteobacteria	Betaproteobacteria	4850	0.69	5482170
639633002	Acidovorax avenae citrulli AAC00-1	Finished	Bacteria	639633002	397945	Proteobacteria	Betaproteobacteria	4868	0.69	5352772
643348541	Acidovorax ebreus TPSY	Finished	Bacteria	643348541	535289	Proteobacteria	Betaproteobacteria	3606	0.67	3796573
639633003	Acidovorax sp. JS42	Finished	Bacteria	639633003	232721	Proteobacteria	Betaproteobacteria	4395	0.66	4585154
2519899535	Acidovorax sp. KKS102	Finished	Bacteria	2519899535	358220	Proteobacteria	Betaproteobacteria	4803	0.65	5196935
2718218091	Acidovorax sp. RAC01	Finished	Bacteria	2718218091	1842533	Proteobacteria	Betaproteobacteria	4178	0.65	4574859
646564501	Aciduliprofundum boonei T469	Finished	Archaea	646564501	439481	Euryarchaeota	unclassified	1587	0.39	1486778
2508501109	Aciduliprofundum sp. MAR08-339	Finished	Archaea	2508501109	673860	Euryarchaeota	unclassified	1598	0.44	1437090
2721755501	Acinetobacter baumannii 11510	Finished	Bacteria	2721755501	470	Proteobacteria	Gammaproteobacteria	4133	0.39	4155614
650377901	Acinetobacter baumannii 1656-2	Finished	Bacteria	650377901	696749	Proteobacteria	Gammaproteobacteria	3913	0.39	4023106
2687453588	Acinetobacter baumannii 3207	Finished	Bacteria	2687453588	470	Proteobacteria	Gammaproteobacteria	4050	0.39	4092036
2687453566	Acinetobacter baumannii 6200	Finished	Bacteria	2687453566	470	Proteobacteria	Gammaproteobacteria	3946	0.39	4073976
2645727937	Acinetobacter baumannii A1	Finished	Bacteria	2645727937	470	Proteobacteria	Gammaproteobacteria	3769	0.39	3909008
2654588009	Acinetobacter baumannii A1 null replaces 98199	Finished	Bacteria	2654588009	470	Proteobacteria	Gammaproteobacteria	3777	0.39	3917739
643348502	Acinetobacter baumannii AB0057	Finished	Bacteria	643348502	480119	Proteobacteria	Gammaproteobacteria	3892	0.39	4059242
2558860252	Acinetobacter baumannii AB07	Finished	Bacteria	2558860252	1413216	Proteobacteria	Gammaproteobacteria	3955	0.39	4242611
2597490178	Acinetobacter baumannii AB30	Finished	Bacteria	2597490178	470	Proteobacteria	Gammaproteobacteria	4390	0.39	4335793
643348503	Acinetobacter baumannii AB307-0294	Finished	Bacteria	643348503	557600	Proteobacteria	Gammaproteobacteria	3542	0.39	3760981
2597490184	Acinetobacter baumannii AB31	Finished	Bacteria	2597490184	470	Proteobacteria	Gammaproteobacteria	3625	0.39	3803317
2651869732	Acinetobacter baumannii AB5075-UW	Finished	Bacteria	2651869732	470	Proteobacteria	Gammaproteobacteria	3867	0.39	3972672
2519899559	Acinetobacter baumannii AC12	Finished	Bacteria	2519899559	1198108	Proteobacteria	Gammaproteobacteria	3688	0.39	3848312
2582580753	Acinetobacter baumannii AC29	Finished	Bacteria	2582580753	470	Proteobacteria	Gammaproteobacteria	3747	0.39	3935134
2519899736	Acinetobacter baumannii AC30	Finished	Bacteria	2519899736	1224747	Proteobacteria	Gammaproteobacteria	3789	0.39	3922859
642555102	Acinetobacter baumannii ACICU	Finished	Bacteria	642555102	405416	Proteobacteria	Gammaproteobacteria	3841	0.39	3996761
2718218041	Acinetobacter baumannii AF-401	Finished	Bacteria	2718218041	470	Proteobacteria	Gammaproteobacteria	4240	0.39	4267631
2718218042	Acinetobacter baumannii AF-673	Finished	Bacteria	2718218042	470	Proteobacteria	Gammaproteobacteria	4012	0.39	4093104
640069301	Acinetobacter baumannii ATCC 17978	Finished	Bacteria	640069301	400667	Proteobacteria	Gammaproteobacteria	3464	0.39	4001457
2671180557	Acinetobacter baumannii ATCC 17978-mff	Finished	Bacteria	2671180557	470	Proteobacteria	Gammaproteobacteria	3855	0.39	4006698
641522602	Acinetobacter baumannii AYE	Finished	Bacteria	641522602	509173	Proteobacteria	Gammaproteobacteria	3813	0.39	4048735
2687453347	Acinetobacter baumannii Ab04-mff	Finished	Bacteria	2687453347	470	Proteobacteria	Gammaproteobacteria	4128	0.39	4192280
2687453293	Acinetobacter baumannii Ab421_GEIH-2010	Finished	Bacteria	2687453293	470	Proteobacteria	Gammaproteobacteria	3349	0.39	3976746
2627854112	Acinetobacter baumannii AbH12O-A2	Finished	Bacteria	2627854112	470	Proteobacteria	Gammaproteobacteria	3720	0.39	3875775
2554235346	Acinetobacter baumannii BJAB07104	Finished	Bacteria	2554235346	1096995	Proteobacteria	Gammaproteobacteria	3953	0.39	4042229
2561511161	Acinetobacter baumannii BJAB0715	Finished	Bacteria	2561511161	1096996	Proteobacteria	Gammaproteobacteria	3999	0.39	4053889
2554235348	Acinetobacter baumannii BJAB0868	Finished	Bacteria	2554235348	1096997	Proteobacteria	Gammaproteobacteria	3912	0.39	4005822
2684623147	Acinetobacter baumannii CIP 70.10	Finished	Bacteria	2684623147	470	Proteobacteria	Gammaproteobacteria	3737	0.39	3936255
2630968631	Acinetobacter baumannii CR17	Finished	Bacteria	2630968631	1331665	Proteobacteria	Gammaproteobacteria	3624	0.39	3762956
2667527569	Acinetobacter baumannii CR17 null replaces 78590	Finished	Bacteria	2667527569	1331665	Proteobacteria	Gammaproteobacteria	3819	0.39	3924910
2667527568	Acinetobacter baumannii CSO1 null replaces 78589	Finished	Bacteria	2667527568	1331666	Proteobacteria	Gammaproteobacteria	3835	0.39	3916249
2563366605	Acinetobacter baumannii D1279779	Finished	Bacteria	2563366605	945556	Proteobacteria	Gammaproteobacteria	3484	0.39	3711701
2687453191	Acinetobacter baumannii D36	Finished	Bacteria	2687453191	470	Proteobacteria	Gammaproteobacteria	4034	0.39	4131161
2718218117	Acinetobacter baumannii HRAB-85	Finished	Bacteria	2718218117	470	Proteobacteria	Gammaproteobacteria	4060	0.39	4098585
2648501174	Acinetobacter baumannii IOMTU433	Finished	Bacteria	2648501174	470	Proteobacteria	Gammaproteobacteria	4050	0.39	4190324
2718218415	Acinetobacter baumannii KAB01	Finished	Bacteria	2718218415	470	Proteobacteria	Gammaproteobacteria	3992	0.39	4034092
2718218251	Acinetobacter baumannii KAB02	Finished	Bacteria	2718218251	470	Proteobacteria	Gammaproteobacteria	4050	0.39	4086205
2718218066	Acinetobacter baumannii KAB03	Finished	Bacteria	2718218066	470	Proteobacteria	Gammaproteobacteria	3999	0.39	4056960
2718218065	Acinetobacter baumannii KAB04	Finished	Bacteria	2718218065	470	Proteobacteria	Gammaproteobacteria	4112	0.39	4128124
2718218417	Acinetobacter baumannii KAB05	Finished	Bacteria	2718218417	470	Proteobacteria	Gammaproteobacteria	4059	0.39	4038601
2718218118	Acinetobacter baumannii KAB06	Finished	Bacteria	2718218118	470	Proteobacteria	Gammaproteobacteria	4011	0.39	4038715
2718218459	Acinetobacter baumannii KAB07	Finished	Bacteria	2718218459	470	Proteobacteria	Gammaproteobacteria	4013	0.39	4054434
2718218116	Acinetobacter baumannii KAB08	Finished	Bacteria	2718218116	470	Proteobacteria	Gammaproteobacteria	4041	0.39	4075169
2687453470	Acinetobacter baumannii KBN10P02143	Finished	Bacteria	2687453470	470	Proteobacteria	Gammaproteobacteria	4064	0.39	4139396
2684623186	Acinetobacter baumannii LAC-4	Finished	Bacteria	2684623186	1455315	Proteobacteria	Gammaproteobacteria	3882	0.39	3968436
2718218115	Acinetobacter baumannii LAC4	Finished	Bacteria	2718218115	470	Proteobacteria	Gammaproteobacteria	3945	0.39	3988690
2565956548	Acinetobacter baumannii MDR-TJ	Finished	Bacteria	2565956548	889738	Proteobacteria	Gammaproteobacteria	4032	0.39	4153407
2511231155	Acinetobacter baumannii MDR-ZJ06	Finished	Bacteria	2511231155	497978	Proteobacteria	Gammaproteobacteria	3975	0.39	4011434
2693429620	Acinetobacter baumannii ORAB10	Finished	Bacteria	2693429620	470	Proteobacteria	Gammaproteobacteria	3752	0.39	3853901
2684622529	Acinetobacter baumannii R2090	Finished	Bacteria	2684622529	470	Proteobacteria	Gammaproteobacteria	3718	0.39	3819158
2687453278	Acinetobacter baumannii R2091	Finished	Bacteria	2687453278	470	Proteobacteria	Gammaproteobacteria	3745	0.39	3947488
2687453229	Acinetobacter baumannii R612	Finished	Bacteria	2687453229	470	Proteobacteria	Gammaproteobacteria	4091	0.39	4155251
641522603	Acinetobacter baumannii SDF	Finished	Bacteria	641522603	509170	Proteobacteria	Gammaproteobacteria	3062	0.39	3477996
650377902	Acinetobacter baumannii TCDC-AB0715	Finished	Bacteria	650377902	980514	Proteobacteria	Gammaproteobacteria	4003	0.39	4210417
2519103115	Acinetobacter baumannii TYTH-1	Finished	Bacteria	2519103115	1100841	Proteobacteria	Gammaproteobacteria	3771	0.39	3957368
2718218403	Acinetobacter baumannii XDR-BJ83	Finished	Bacteria	2718218403	470	Proteobacteria	Gammaproteobacteria	4056	0.39	4080621
2684623213	Acinetobacter baumannii XH856	Finished	Bacteria	2684623213	470	Proteobacteria	Gammaproteobacteria	3757	0.39	3908399
2671180334	Acinetobacter baumannii XH857	Finished	Bacteria	2671180334	470	Proteobacteria	Gammaproteobacteria	3769	0.39	3879636
2684623104	Acinetobacter baumannii XH858	Finished	Bacteria	2684623104	470	Proteobacteria	Gammaproteobacteria	4088	0.39	4172609
2684623056	Acinetobacter baumannii XH859	Finished	Bacteria	2684623056	470	Proteobacteria	Gammaproteobacteria	3842	0.39	3977071
2684623099	Acinetobacter baumannii XH860	Finished	Bacteria	2684623099	470	Proteobacteria	Gammaproteobacteria	3721	0.39	3846621
2558309051	Acinetobacter baumannii ZW85-1	Finished	Bacteria	2558309051	1400867	Proteobacteria	Gammaproteobacteria	3671	0.39	3876878
637000002	Acinetobacter baylyi ADP1	Finished	Bacteria	637000002	62977	Proteobacteria	Gammaproteobacteria	3433	0.4	3598621
650377903	Acinetobacter calcoaceticus PHEA-2	Finished	Bacteria	650377903	871585	Proteobacteria	Gammaproteobacteria	3674	0.39	3862530
2648501117	Acinetobacter equi 114	Finished	Bacteria	2648501117	1324350	Proteobacteria	Gammaproteobacteria	2936	0.35	3054269
2718217811	Acinetobacter haemolyticus TJS01	Finished	Bacteria	2718217811	29430	Proteobacteria	Gammaproteobacteria	3497	0.4	3538838
2721755731	Acinetobacter junii 65	Finished	Bacteria	2721755731	40215	Proteobacteria	Gammaproteobacteria	3301	0.39	3378307
2687453252	Acinetobacter nosocomialis 6411	Finished	Bacteria	2687453252	106654	Proteobacteria	Gammaproteobacteria	3901	0.39	4061750
648028004	Acinetobacter oleivorans DR1	Finished	Bacteria	648028004	436717	Proteobacteria	Gammaproteobacteria	3963	0.39	4152543
2684623141	Acinetobacter pittii IEC338SC	Finished	Bacteria	2684623141	48296	Proteobacteria	Gammaproteobacteria	3841	0.39	3957199
2684623098	Acinetobacter sp. DUT-2	Finished	Bacteria	2684623098	1809055	Proteobacteria	Gammaproteobacteria	4190	0.39	4072672
2687453584	Acinetobacter sp. NCu2D-2	Finished	Bacteria	2687453584	1608473	Proteobacteria	Gammaproteobacteria	2973	0.4	3048277
2687453267	Acinetobacter sp. TGL-Y2	Finished	Bacteria	2687453267	1407071	Proteobacteria	Gammaproteobacteria	3671	0.4	3691287
2645727723	Acinetobacter sp. TTH0-4	Finished	Bacteria	2645727723	1646498	Proteobacteria	Gammaproteobacteria	2898	0.39	2962453
2627854058	Actinobacillus equuli 19392	Finished	Bacteria	2627854058	202947	Proteobacteria	Gammaproteobacteria	2288	0.4	2431533
641522604	Actinobacillus pleuropneumoniae sv. 3 JL03	Finished	Bacteria	641522604	434271	Proteobacteria	Gammaproteobacteria	2118	0.41	2242062
640069302	Actinobacillus pleuropneumoniae sv. 5b L20	Finished	Bacteria	640069302	416269	Proteobacteria	Gammaproteobacteria	2121	0.41	2274482
642555103	Actinobacillus pleuropneumoniae sv. 7 AP76	Finished	Bacteria	642555103	537457	Proteobacteria	Gammaproteobacteria	2220	0.41	2345435
2684623187	Actinobacillus pleuropneumoniae sv.8 MIDG2331	Finished	Bacteria	2684623187	754345	Proteobacteria	Gammaproteobacteria	2268	0.41	2337633
640753001	Actinobacillus succinogenes 130Z	Finished	Bacteria	640753001	339671	Proteobacteria	Gammaproteobacteria	2210	0.45	2319663
2597489880	Actinobacillus suis ATCC 33415	Finished	Bacteria	2597489880	743972	Proteobacteria	Gammaproteobacteria	2355	0.4	2501598
2521172696	Actinobacillus suis H91-0380	Finished	Bacteria	2521172696	696748	Proteobacteria	Gammaproteobacteria	2327	0.4	2484940
2654587632	Actinobacteria bacterium IMCC26256	Finished	Bacteria	2654587632	1650658	Actinobacteria	Actinobacteria	2354	0.55	2461858
2687453390	Actinomyces meyeri W712	Finished	Bacteria	2687453390	52773	Actinobacteria	Actinobacteria	1823	0.66	2049088
2684623058	Actinomyces oris T14V	Finished	Bacteria	2684623058	544580	Actinobacteria	Actinobacteria	2531	0.68	3042917
2687453525	Actinomyces radicidentis CCUG 36733	Finished	Bacteria	2687453525	111015	Actinobacteria	Actinobacteria	2621	0.73	3051613
2687453141	Actinomyces sp. F0588	Finished	Bacteria	2687453141	712122	Actinobacteria	Actinobacteria	3159	0.72	3836419
2718217975	Actinomyces sp. VUL4_3	Finished	Bacteria	2718217975	1912795	Actinobacteria	Actinobacteria	1818	0.52	2207832
2554235379	Actinoplanes friuliensis DSM 7358	Finished	Bacteria	2554235379	1246995	Actinobacteria	Actinobacteria	8648	0.7	9376071
2513237176	Actinoplanes missouriensis NBRC 102363	Finished	Bacteria	2513237176	512565	Actinobacteria	Actinobacteria	8202	0.71	8773466
2554235409	Actinoplanes sp. N902-109	Finished	Bacteria	2554235409	649831	Actinobacteria	Actinobacteria	8283	0.71	9228054
2511231151	Actinoplanes sp. SE50/110	Finished	Bacteria	2511231151	134676	Actinobacteria	Actinobacteria	8385	0.71	9239851
644736323	Actinosynnema mirum 101, DSM 43827	Finished	Bacteria	644736323	446462	Actinobacteria	Actinobacteria	7176	0.74	8248144
2585427650	Actinotignum schaalii CCUG 27420	Finished	Bacteria	2585427650	59505	Actinobacteria	Actinobacteria	1508	0.62	2159306
2597489914	Adlercreutzia equolifaciens DSM 19450	Finished	Bacteria	2597489914	1384484	Actinobacteria	Coriobacteriia	2321	0.63	2862526
2515154053	Advenella kashmirensis WT001	Finished	Bacteria	2515154053	1036672	Proteobacteria	Betaproteobacteria	3980	0.55	4423879
2548877156	Advenella mimigardefordensis DPN7 (MIMI)	Finished	Bacteria	2548877156	1247726	Proteobacteria	Betaproteobacteria	4136	0.54	4764126
2509276063	Aequorivita sublithincola QSSC9-3, DSM 14238	Finished	Bacteria	2509276063	746697	Bacteroidetes	Flavobacteriia	3242	0.36	3520671
2687453475	Aerococcus christensenii CCUG28831	Finished	Bacteria	2687453475	87541	Firmicutes	Bacilli	1578	0.39	1634920
2687453481	Aerococcus sanguinicola CCUG43001	Finished	Bacteria	2687453481	119206	Firmicutes	Bacilli	1862	0.48	2033849
650716005	Aerococcus urinae ACS-120-V-Col10a	Finished	Bacteria	650716005	866775	Firmicutes	Bacilli	1804	0.42	2080974
2687453482	Aerococcus urinae CCUG 36881	Finished	Bacteria	2687453482	1376	Firmicutes	Bacilli	1817	0.43	1974262
2671180343	Aerococcus urinaeequi CCUG28094	Finished	Bacteria	2671180343	51665	Firmicutes	Bacilli	1868	0.39	2013339
2687453573	Aerococcus urinaeequi USDA-ARS-USMARC-56713	Finished	Bacteria	2687453573	51665	Firmicutes	Bacilli	1911	0.39	2054328
2687453476	Aerococcus urinaehominis CCUG42038B	Finished	Bacteria	2687453476	128944	Firmicutes	Bacilli	1722	0.43	1831400
2684623177	Aerococcus viridans CCUG4311	Finished	Bacteria	2684623177	1377	Firmicutes	Bacilli	2087	0.39	2199877
2687453509	Aeromicrobium erythreum AR18	Finished	Bacteria	2687453509	2041	Actinobacteria	Actinobacteria	3500	0.72	3629239
2721755787	Aeromonas aquatica MX16A	Finished	Bacteria	2721755787	558964	Proteobacteria	Gammaproteobacteria	4416	0.62	4783504
2563366591	Aeromonas hydrophila 4AK4	Finished	Bacteria	2563366591	1354302	Proteobacteria	Gammaproteobacteria	4272	0.62	4527993
2687453145	Aeromonas hydrophila AH10	Finished	Bacteria	2687453145	644	Proteobacteria	Gammaproteobacteria	4554	0.61	4908265
2639762782	Aeromonas hydrophila AL06-06	Finished	Bacteria	2639762782	644	Proteobacteria	Gammaproteobacteria	4574	0.61	4901389
2576861447	Aeromonas hydrophila AL09-71	Finished	Bacteria	2576861447	1418110	Proteobacteria	Gammaproteobacteria	4492	0.61	5023861
2687453503	Aeromonas hydrophila D4	Finished	Bacteria	2687453503	644	Proteobacteria	Gammaproteobacteria	4913	0.6	5275132
2718217739	Aeromonas hydrophila GYK1	Finished	Bacteria	2718217739	644	Proteobacteria	Gammaproteobacteria	4562	0.61	4951765
2627854073	Aeromonas hydrophila J-1	Finished	Bacteria	2627854073	1419584	Proteobacteria	Gammaproteobacteria	4639	0.61	5000814
2687453253	Aeromonas hydrophila JBN2301	Finished	Bacteria	2687453253	644	Proteobacteria	Gammaproteobacteria	4800	0.61	5145887
2541047079	Aeromonas hydrophila ML09-119	Finished	Bacteria	2541047079	1288394	Proteobacteria	Gammaproteobacteria	4577	0.61	5024500
2627853888	Aeromonas hydrophila NJ-35	Finished	Bacteria	2627853888	1416915	Proteobacteria	Gammaproteobacteria	4922	0.61	5279644
2576861457	Aeromonas hydrophila YL17	Finished	Bacteria	2576861457	1448139	Proteobacteria	Gammaproteobacteria	4286	0.62	4806266
639633004	Aeromonas hydrophila hydrophila ATCC 7966	Finished	Bacteria	639633004	380703	Proteobacteria	Gammaproteobacteria	4321	0.62	4744448
2576861445	Aeromonas hydrophila pc104A	Finished	Bacteria	2576861445	1418107	Proteobacteria	Gammaproteobacteria	4493	0.61	5023829
641522605	Aeromonas salmonicida salmonicida A449	Finished	Bacteria	641522605	382245	Proteobacteria	Gammaproteobacteria	4608	0.58	5040536
2684623125	Aeromonas schubertii WL1483	Finished	Bacteria	2684623125	652	Proteobacteria	Gammaproteobacteria	4462	0.61	4400034
2687453540	Aeromonas veronii AVNIH1	Finished	Bacteria	2687453540	654	Proteobacteria	Gammaproteobacteria	4657	0.58	4955058
650716006	Aeromonas veronii B565	Finished	Bacteria	650716006	998088	Proteobacteria	Gammaproteobacteria	4161	0.59	4551783
2687453396	Aeromonas veronii CB51	Finished	Bacteria	2687453396	654	Proteobacteria	Gammaproteobacteria	4513	0.59	4584103
2687453440	Aeromonas veronii TH0426	Finished	Bacteria	2687453440	654	Proteobacteria	Gammaproteobacteria	4654	0.58	4923009
2554235461	Aeropyrum camini SY1, JCM 12091	Finished	Archaea	2554235461	1198449	Crenarchaeota	Thermoprotei	1695	0.57	1595994
2687453314	Aggregatibacter actinomycetemcomitans 624	Finished	Bacteria	2687453314	714	Proteobacteria	Gammaproteobacteria	2372	0.44	2367908
2511231110	Aggregatibacter actinomycetemcomitans ANH9381	Finished	Bacteria	2511231110	754507	Proteobacteria	Gammaproteobacteria	2142	0.44	2136808
2576861460	Aggregatibacter actinomycetemcomitans HK1651	Finished	Bacteria	2576861460	272556	Proteobacteria	Gammaproteobacteria	2401	0.44	2105503
2645727850	Aggregatibacter actinomycetemcomitans HK1651	Finished	Bacteria	2645727850	272556	Proteobacteria	Gammaproteobacteria	2095	0.44	2105380
2687453265	Aggregatibacter actinomycetemcomitans VT1169	Finished	Bacteria	2687453265	714	Proteobacteria	Gammaproteobacteria	2108	0.44	2129092
2540341078	Aggregatibacter actinomycetemcomitans sv. A D7S-1	Finished	Bacteria	2540341078	694569	Proteobacteria	Gammaproteobacteria	2334	0.44	2309073
2561511125	Aggregatibacter actinomycetemcomitans sv. C D11S-1	Finished	Bacteria	2561511125	668336	Proteobacteria	Gammaproteobacteria	2358	0.44	2204665
2636415601	Aggregatibacter aphrophilus NJ8700	Finished	Bacteria	2636415601	634176	Proteobacteria	Gammaproteobacteria	2247	0.42	2313256
644736324	Aggregatibacter aphrophilus NJ8700	Finished	Bacteria	644736324	634176	Proteobacteria	Gammaproteobacteria	2295	0.42	2313035
2687453634	Aggregatibacter aphrophilus W10433	Finished	Bacteria	2687453634	732	Proteobacteria	Gammaproteobacteria	2258	0.42	2414427
643348504	Agrobacterium radiobacter K84	Finished	Bacteria	643348504	311403	Proteobacteria	Alphaproteobacteria	6744	0.6	7273300
